symbol,tv_ticker,sector,industry,description,grade,pass_tf,on_list,w1_score,d1_score,score,price,note
AVGO,NASDAQ:AVGO,Electronic technology,Semiconductors,Broadcom Inc.,B,,False,0,2,2,392.13,W1 0/3：未達 | D1 2/3：量價配合
BB,NYSE:BB,Technology services,Packaged software,BlackBerry Limited,B,,False,2,0,2,8.79,W1 2/3：量價配合 | D1 0/3：未達
BDC,NYSE:BDC,Producer manufacturing,Electrical products,Belden Inc,B,,False,0,2,2,121.65,W1 0/3：未達 | D1 2/3：量價配合
BE,NYSE:BE,Electronic technology,Electronic production equipment,Bloom Energy Corporation,B,,False,0,2,2,345.85,W1 0/3：未達 | D1 2/3：量價配合
BIRK,NYSE:BIRK,Consumer non-durables,Apparel/Footwear,Birkenstock Holding plc,B,,False,2,0,2,43.3,W1 2/3：量價配合 | D1 0/3：未達
BOOT,NYSE:BOOT,Retail trade,Apparel/Footwear retail,"Boot Barn Holdings, Inc.",B,,False,0,2,2,178.46,W1 0/3：未達 | D1 2/3：量價配合
BROS,NYSE:BROS,Consumer services,Restaurants,Dutch Bros Inc.,B,,False,0,2,2,67.03,W1 0/3：未達 | D1 2/3：量價配合
BTSG,NASDAQ:BTSG,Health services,Medical/Nursing services,"BrightSpring Health Services, Inc.",B,,False,2,0,2,67.2,W1 2/3：量價配合 | D1 0/3：未達
CAMT,NASDAQ:CAMT,Electronic technology,Electronic components,Camtek Ltd.,B,,False,0,2,2,195.72,W1 0/3：未達 | D1 2/3：量價配合
CAR,NASDAQ:CAR,Finance,Finance/Rental/Leasing,"Avis Budget Group, Inc.",B,,False,0,2,2,186.28,W1 0/3：未達 | D1 2/3：量價配合
CAVA,NYSE:CAVA,Consumer services,Restaurants,"CAVA Group, Inc.",B,,False,2,0,2,80.88,W1 2/3：量價配合 | D1 0/3：未達
CCL,NYSE:CCL,Consumer services,Hotels/Resorts/Cruise lines,Carnival Corporation Ltd.,B,,False,2,0,2,30.19,W1 2/3：量價配合 | D1 0/3：未達
CDNS,NASDAQ:CDNS,Technology services,Packaged software,"Cadence Design Systems, Inc.",B,,False,2,0,2,389.04,W1 2/3：量價配合 | D1 0/3：未達
CENX,NASDAQ:CENX,Non-energy minerals,Aluminum,Century Aluminum Company,B,,False,2,0,2,49.53,W1 2/3：量價配合 | D1 0/3：未達
CLS,NYSE:CLS,Electronic technology,Electronic components,"Celestica, Inc.",B,,False,0,2,2,376.84,W1 0/3：未達 | D1 2/3：量價配合
COHR,NYSE:COHR,Electronic technology,Semiconductors,Coherent Corp.,B,,False,0,2,2,425.48,W1 0/3：未達 | D1 2/3：量價配合
COHU,NASDAQ:COHU,Electronic technology,Semiconductors,"Cohu, Inc.",B,,False,0,2,2,70.07,W1 0/3：未達 | D1 2/3：量價配合
CORT,NASDAQ:CORT,Health technology,Pharmaceuticals: major,Corcept Therapeutics Incorporated,B,,False,2,0,2,79.71,W1 2/3：量價配合 | D1 0/3：未達
CRDO,NASDAQ:CRDO,Technology services,Information technology services,Credo Technology Group Holding Ltd,B,,False,0,2,2,302.52,W1 0/3：未達 | D1 2/3：量價配合
CRL,NYSE:CRL,Commercial services,Miscellaneous commercial services,"Charles River Laboratories International, Inc.",B,,False,2,0,2,181.56,W1 2/3：量價配合 | D1 0/3：未達
CRWV,NASDAQ:CRWV,Technology services,Packaged software,"CoreWeave, Inc.",B,,False,2,0,2,111.29,W1 2/3：量價配合 | D1 0/3：未達
CSL,NYSE:CSL,Producer manufacturing,Building products,Carlisle Companies Incorporated,B,,False,0,2,2,360.96,W1 0/3：未達 | D1 2/3：量價配合
DELL,NYSE:DELL,Electronic technology,Computer processing hardware,Dell Technologies Inc.,B,,False,0,2,2,418.71,W1 0/3：未達 | D1 2/3：量價配合
DHI,NYSE:DHI,Consumer durables,Homebuilding,"D.R. Horton, Inc.",B,,False,2,0,2,155.94,W1 2/3：量價配合 | D1 0/3：未達
EMN,NYSE:EMN,Process industries,Chemicals: specialty,Eastman Chemical Company,B,,False,2,0,2,71.96,W1 2/3：量價配合 | D1 0/3：未達
EMR,NYSE:EMR,Electronic technology,Electronic equipment/Instruments,Emerson Electric Company,B,,False,2,0,2,150.21,W1 2/3：量價配合 | D1 0/3：未達
ENTG,NASDAQ:ENTG,Producer manufacturing,Industrial machinery,"Entegris, Inc.",B,,False,0,2,2,184.0,W1 0/3：未達 | D1 2/3：量價配合
ERAS,NASDAQ:ERAS,Health technology,Pharmaceuticals: major,"Erasca, Inc.",B,,False,0,2,2,15.08,W1 0/3：未達 | D1 2/3：量價配合
EVR,NYSE:EVR,Finance,Investment banks/Brokers,Evercore Inc.,B,,False,0,2,2,374.04,W1 0/3：未達 | D1 2/3：量價配合
EXEL,NASDAQ:EXEL,Health technology,Pharmaceuticals: major,"Exelixis, Inc.",B,,False,2,0,2,51.35,W1 2/3：量價配合 | D1 0/3：未達
