symbol,tv_ticker,sector,industry,description,grade,pass_tf,on_list,w1_score,d1_score,score,price,note
DELL,NYSE:DELL,Electronic technology,Computer processing hardware,Dell Technologies Inc.,C,,False,0,0,0,411.26,W1 0/3：大陽5根 | D1 0/3：大陽2根 | W/D 未過 | 跌市反向：3M 150.6% vs SPY 12.9% | 領先MA：股 $411.26 [10上/20上/50上] 3/3 vs SPY $737.85 [10下/20下/50上] 1/3
FN,NYSE:FN,Electronic technology,Semiconductors,Fabrinet,C,,False,0,0,0,596.34,W1 0/3：大陽2根 | D1 0/3：未達 | W/D 未過 | 未跑贏：3M 9.1% vs SPY 12.9% | 領先MA未過：股 $596.34 [10上/20下/50下] 1/3 vs SPY $737.98 [10下/20下/50上] 1/3
GFS,NASDAQ:GFS,Electronic technology,Semiconductors,GlobalFoundries Inc.,C,,False,0,0,0,86.23,W1 0/3：大陽3根 | D1 0/3：未達 | W/D 未過 | 跌市反向：3M 96.2% vs SPY 12.9% | 領先MA：股 $86.23 [10上/20上/50上] 3/3 vs SPY $738.17 [10下/20下/50上] 1/3
GOOG,NASDAQ:GOOG,Technology services,Internet software/Services,Alphabet Inc.,C,,False,0,0,0,347.89,W1 0/3：大陽2根 | D1 0/3：大陽2根 | W/D 未過 | 跌市反向：3M 16.4% vs SPY 12.9% | 領先MA未過：股 $347.89 [10下/20下/50下] 0/3 vs SPY $737.96 [10下/20下/50上] 1/3
IRDM,NASDAQ:IRDM,Communications,Specialty telecommunications,Iridium Communications Inc,C,,False,0,0,0,43.77,W1 0/3：大陽2根 | D1 0/3：大陽2根 | W/D 未過 | 跌市反向：3M 67.0% vs SPY 12.9% | 領先MA未過：股 $43.77 [10下/20下/50上] 1/3 vs SPY $738.22 [10下/20下/50上] 1/3
JBHT,NASDAQ:JBHT,Transportation,Trucking,"J.B. Hunt Transport Services, Inc.",C,,False,0,0,0,271.9,W1 0/3：大陽2根 | D1 0/3：未達 | W/D 未過 | 跌市反向：3M 34.3% vs SPY 12.9% | 領先MA未過：股 $271.90 [10下/20下/50上] 1/3 vs SPY $737.98 [10下/20下/50上] 1/3
MTZ,NYSE:MTZ,Industrial services,Engineering & construction,"MasTec, Inc.",C,,False,0,0,0,387.35,W1 0/3：大陽1根 | D1 0/3：大陽2根 | W/D 未過 | 跌市反向：3M 24.7% vs SPY 12.9% | 領先MA：股 $387.35 [10上/20上/50上] 3/3 vs SPY $738.15 [10下/20下/50上] 1/3
NVDA,NASDAQ:NVDA,Electronic technology,Semiconductors,NVIDIA Corporation,C,,False,0,0,0,203.35,W1 0/3：大陽1根 | D1 0/3：未達 | W/D 未過 | 跌市反向：3M 15.9% vs SPY 12.9% | 領先MA未過：股 $203.38 [10下/20下/50下] 0/3 vs SPY $737.96 [10下/20下/50上] 1/3
P,NYSE:P,Electronic technology,Computer peripherals,"Everpure, Inc.",C,,False,0,0,0,74.49,W1 0/3：大陽1根 | D1 0/3：大陽2根 | W/D 未過 | 跌市反向：3M 15.6% vs SPY 12.9% | 領先MA未過：股 $74.49 [10上/20下/50下] 1/3 vs SPY $737.98 [10下/20下/50上] 1/3
PANW,NASDAQ:PANW,Technology services,Packaged software,"Palo Alto Networks, Inc.",C,,False,0,0,0,289.39,W1 0/3：大陽2根 | D1 0/3：大陽2根 | W/D 未過 | 跌市反向：3M 76.4% vs SPY 12.9% | 領先MA：股 $289.39 [10上/20上/50上] 3/3 vs SPY $737.85 [10下/20下/50上] 1/3
PRAX,NASDAQ:PRAX,Health technology,Pharmaceuticals: major,"Praxis Precision Medicines, Inc.",C,,False,0,0,0,305.64,W1 0/3：大陽1根 | D1 0/3：大陽2根 | W/D 未過 | 未跑贏：3M 3.9% vs SPY 12.9% | 領先MA：股 $305.64 [10上/20上/50下] 2/3 vs SPY $737.87 [10下/20下/50上] 1/3
RIOT,NASDAQ:RIOT,Technology services,Information technology services,"Riot Platforms, Inc.",C,,False,0,0,0,29.04,W1 0/3：大陽2根 | D1 0/3：大陽3根 | W/D 未過 | 跌市反向：3M 102.2% vs SPY 12.9% | 領先MA：股 $29.05 [10上/20上/50上] 3/3 vs SPY $737.95 [10下/20下/50上] 1/3
RLAY,NASDAQ:RLAY,Health technology,Biotechnology,"Relay Therapeutics, Inc.",C,,False,0,0,0,17.58,W1 0/3：大陽1根 | D1 0/3：未達 | W/D 未過 | 跌市反向：3M 79.0% vs SPY 12.9% | 領先MA：股 $17.58 [10上/20上/50上] 3/3 vs SPY $738.20 [10下/20下/50上] 1/3
RVTY,NYSE:RVTY,Health technology,Medical specialties,"Revvity, Inc.",C,,False,0,0,0,100.16,W1 0/3：大陽1根 | D1 0/3：未達 | W/D 未過 | 跌市反向：3M 15.0% vs SPY 12.9% | 領先MA未過：股 $100.16 [10下/20下/50上] 1/3 vs SPY $737.95 [10下/20下/50上] 1/3
STT,NYSE:STT,Finance,Finance/Rental/Leasing,State Street Corporation,C,,False,0,0,0,174.62,W1 0/3：大陽2根 | D1 0/3：大陽3根 | W/D 未過 | 跌市反向：3M 42.6% vs SPY 12.9% | 領先MA：股 $174.62 [10上/20上/50上] 3/3 vs SPY $738.17 [10下/20下/50上] 1/3
XPO,NYSE:XPO,Transportation,Trucking,"XPO, Inc.",C,,False,0,0,0,200.32,W1 0/3：未達 | D1 0/3：大陽2根 | W/D 未過 | 未跑贏：3M 7.9% vs SPY 12.9% | 領先MA未過：股 $200.32 [10下/20下/50下] 0/3 vs SPY $737.98 [10下/20下/50上] 1/3
